,f_1,f_2,routes
21,10.516441005802706,124.0,0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-1*13-12*13-9-7-5-3-4*7-14*4-1-2-5-14-6*
11,10.531914893617019,123.0,8-14-6-9*2-1-4-3-5-7-9-10-11*10-12*0-1-2-5-7-9-13-12*6-14-5-2-1-3-11*6-14-7*
8,10.549323017408122,122.0,0-1-2-5-7-9-10-12*8-14-6-9-10-11-3*13-12*13-9-7-5-3-4*7-14*4-3-1-2-5-14-6*
12,10.56415215989684,121.0,10-12*0-1-2-5-7-9-13-12*8-14-6-9*2-1-4-3-5-7-9-10-11*14-7*6-14-5-2-1-3-11*
20,10.598968407479044,119.0,8-14-6-9*12-13-9-7-5-2-1-0*11-3-1-2-5-14-6*12-10*11-10-9-7-5-3-4*4-1-2*
20,10.620245003223726,117.0,9-6-14-8*12-10*11-10-9-7-5-3-4*1-3-11*4-1-2-5-14-6*12-13-9-7-5-2-1-0*
25,10.645390070921986,116.0,9-7-5-3-4*6-14-5-2-1-4*1-3-11*0-1-2-5-7-9-10-12-13*14-7*11-10-9-6-14-8*
21,10.653127014829142,115.0,8-14-6-9*0-1-2-5-7-9-13-12*10-12*11-3*4-3-5-7-9-10-11*4-3-1-2-5-14-6*
20,10.678272082527403,114.0,8-14-6-9-10-11*14-7*0-1-2-5-7-9-10-12-13*11-3*6-14-5-2-1-3-4*4-3-5-7-9*
16,10.722759509993553,113.0,10-12*11-10-9-7-5-3-4*8-14-6-9*13-12*0-1-2-5-7-9-13-12*6-14-5-2-1-3-11*
19,10.729206963249515,111.0,0-1-2-5-7-14-6-9-10-11*9-13*2-1-4*8-14-5*11-3-1*4-3-5-7-9-10-12-13*
21,10.764023210831724,109.0,10-12*0-1-2-5-14-6-9-13-12*1-3-11*7-14-8*7-5-2-1-4*4-3-5-7-9-10-11*
28,10.784010315925212,108.0,10-12*0-1-2-5-7-14-6-9-13-12*11-3-1*5-14-8*11-10-9-7-5-3-4-1-2*13-12*
29,10.798194713088332,107.0,4-3-1-2*0-1-2-5-7-14-6-9-13-12*12-10*1-3-11*5-14-8*4-3-5-7-9-10-11*
23,10.811089619600258,106.0,8-14-5*11-3*10-12-13*4-3-1-2*0-1-2-5-7-14-6-9-13-12*11-10-9-7-5-3-4*
31,10.820760799484203,104.0,5-14-8*11-10-9-7-5-3-4*0-1-2-5-7-14-6-9-13-12*10-12*4-3-1-2*11-3*
32,10.838168923275306,103.0,12-13-9-6-14-7-5-2-1-0*12-10*4-3-1-2*11-10-9-7-5-3-4*7-14-8*11-3*
33,10.872340425531917,102.0,12-10*12-13-9-6-14-7-5-2-1-0*1-3-4*11-10-9-7-5-3-4*5-14-8*11-3*
34,10.877498388136685,101.0,4-3-5-7-9-10-11*12-13-9-6-14-7-5-2-1-0*10-12*11-3*14-8*4-3-1-2*
23,10.924564796905225,100.0,11-3*4-3-5-7-9-10-12-13*4-3-1-2*14-8*11-10-9-6-14-7-5-2-1-0*12-13*
35,10.929078014184396,99.0,12-13-9-6-14-7-5-2-1-0*12-10*1-3-4*11-10-9-7-5-3-4*14-8*11-3*
36,10.952288845905867,98.0,12-13-9-6-14-7-5-2-1-0*12-10*1-3*11-10-9-7-5-3-4*5-14-8*11-3*
37,10.979368149580916,97.0,0-1-2-5-7-14-6-9-13-12*11-10-9-7-5-3-4*14-8*12-13*11-3-1*10-12*
38,11.004513217279177,96.0,0-1-2-5-7-14-6-9-13-12*4-3-1-2*5-14-8*13-12*4-3-5-7-9-10-11*10-12*
39,11.009026434558349,95.0,12-10*12-13-9-6-14-7-5-2-1-0*1-3*11-10-9-7-5-3-4*14-8*11-3*
40,11.04964539007092,94.0,0-1-2-5-7-14-6-9-13-12*1-3-4*10-12*5-14-8*11-10-9-7-5-3-4*13-12*
41,11.058027079303674,93.0,10-12*0-1-2-5-7-14-6-9-13-12*4-3-1-2*14-8*4-3-5-7-9-10-11*13-12*
42,11.103159252095423,91.0,12-10*12-13*14-8*4-3-5-7-9-10-11*4-3-1*12-13-9-6-14-7-5-2-1-0*
43,11.129593810444872,90.0,12-13-9-6-14-7-5-2-1-0*12-13*4-3-5-7-9-10-11*12-10*5-14-8*3-1*
44,11.144422952933592,89.0,12-10*12-13*3-1*12-13-9-6-14-7-5-2-1-0*7-14-8*11-10-9-7-5-3-4*
36,11.176015473887816,88.0,11-10-9-7-5-3-4*0-1-2-5-7-14-6-9-13-12*8-14*10-12*1-3*14-5*
45,11.183107672469372,87.0,0-1-2-5-7-14-6-9-13-12*11-10-9-7-5-3-4*14-8*12-13*3-1*10-12*
38,11.245003223726627,85.0,1-3*9-6-14-7-5-2-1-0*9-13-12*8-14*10-12*11-10-9-7-5-3-4*
51,11.352030947775626,84.0,11-10-9*4-3-5-7-9-10-12-13*6-14*3-1*8-14*9-6-14-7-5-2-1-0*
37,11.421663442940039,83.0,1-3*0-1-2-5-7-9-10-12-13*8-14*7-14*11-10-9*4-3-5-14-6-9*
53,11.495809155383625,81.0,11-10*4-3-5-7-9-10-12-13*6-14*3-1*8-14-7*9-6-14-7-5-2-1-0*
54,11.534493874919407,79.0,11-10*4-3-5-7-9-10-12-13*6-14*3-1*8-14*9-6-14-7-5-2-1-0*
47,11.607994842037394,78.0,7-14*0-1-2-5-7-9-10-12-13*4-3-5-14-6-9*8-14*10-11*1-3*
40,11.695680206318505,77.0,9-6-14-7-5-2-1-0*12-10-9-7-5-3-4*12-13*14-8*11-10*1-3*
47,11.803997421018698,76.0,0-1-2-5-7-9-10-12*9-6-14-5-3-4*13-12*8-14*11-10*1-3*
48,11.998065764023213,75.0,10-11*13-12-10-9-7-5-2-1-0*7-14-6-9*5-3-4*14-8*1-3*
49,12.120567375886527,74.0,6-14-7-5-2-1-0*12-10-9-7-5-3-4*11-10*6-9*14-8*12-13*
43,12.19471308833011,73.0,5-14-6*0-1-2-5-7-9-10-12-13*6-9*11-10*5-3-4*8-14*
51,12.336557059961315,72.0,7-14-6*13-12-10-9-7-5-2-1-0*5-3-4*10-11*14-8*9-6*
49,12.462282398452613,71.0,6-14-7*13-12-10-9-7-5-2-1-3-4*1-0*10-11*6-9*14-8*
45,12.499677627337197,70.0,6-14-7-5-2-1-0*12-13*12-10-9-7-5-3-4*14-8*11-10*1-3*
46,12.662153449387493,69.0,1-3*12-10-9-6-14-7-5-2-1-0*13-12*8-14*11-10*4-3-5-7*
47,12.71050934880722,67.0,1-3*0-1-2-5-7-14-6-9-10-12*8-14*13-12*11-10*4-3-5*
48,12.955512572533848,66.0,0-1-2-5-7-14-6-9-10-12*11-10*4-3-5*8-14*13-12*13-12*
59,13.121856866537714,65.0,11-10*0-1-2-5-7-9-10-12*7-14-6*5-3-4*14-8*13-12*
60,13.247582205029016,64.0,11-10*12-10-9-7-5-2-1-3-4*1-0*7-14-6*14-8*13-12*
51,13.358478401031592,63.0,10-11*3-1-2-5-7-14-6-9-10-12*13-12*0-1*14-8*3-4*
