,Source,Target,Travel_time,Demand,Demand_per_minute,Routes,|V|,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14
15,0,6,20.0,2650.0,132.5,0-1-3-5-14-6*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0,6,28.0,3880.0,138.57142857142858,0-1-4-3-5-7-14-6*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0,6,21.0,3380.0,160.95238095238096,0-1-3-5-7-14-6*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0,6,18.0,3030.0,168.33333333333334,0-1-2-5-14-6*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0,6,19.0,3840.0,202.10526315789474,0-1-2-5-7-14-6*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,0,6,35.0,7960.0,227.42857142857142,0-1-3-5-14-7-9-6*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19,0,6,33.0,8030.0,243.33333333333334,0-1-2-5-14-7-9-6*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1147,0,6,32.0,7960.0,248.75,0-1-3-5-7-9-6*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1146,0,6,30.0,8030.0,267.6666666666667,0-1-2-5-7-9-6*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,0,7,27.0,3100.0,114.81481481481481,0-1-4-3-5-14-7*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,0,7,24.0,3100.0,129.16666666666666,0-1-4-3-5-7*,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,7,20.0,2650.0,132.5,0-1-3-5-14-7*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0,7,17.0,2650.0,155.88235294117646,0-1-3-5-7*,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,7,18.0,3030.0,168.33333333333334,0-1-2-5-14-7*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0,7,15.0,3030.0,202.0,0-1-2-5-7*,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,0,7,35.0,7960.0,227.42857142857142,0-1-3-5-14-6-9-7*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1208,0,7,33.0,8030.0,243.33333333333334,0-1-2-5-14-6-9-7*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
44,0,8,33.0,2620.0,79.39393939393939,0-1-4-3-5-14-8*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42,0,8,26.0,2200.0,84.61538461538461,0-1-3-5-14-8*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
45,0,8,34.0,3330.0,97.94117647058823,0-1-4-3-5-7-14-8*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40,0,8,24.0,2500.0,104.16666666666667,0-1-2-5-14-8*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
43,0,8,27.0,2860.0,105.92592592592592,0-1-3-5-7-14-8*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0,8,25.0,3240.0,129.6,0-1-2-5-7-14-8*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1325,0,9,43.0,4980.0,115.81395348837209,0-1-4-3-11-10-9*,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1328,0,9,53.0,6430.0,121.32075471698113,0-1-4-3-11-10-12-9*,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1324,0,9,36.0,4370.0,121.38888888888889,0-1-3-11-10-9*,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1326,0,9,46.0,5810.0,126.30434782608695,0-1-3-11-10-12-9*,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1327,0,9,46.0,6350.0,138.04347826086956,0-1-3-11-10-12-13-9*,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
64,0,9,42.0,8170.0,194.52380952380952,0-1-2-5-3-11-10-9*,8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
63,0,9,35.0,7040.0,201.14285714285714,0-1-4-3-5-14-7-9*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
61,0,9,34.0,7040.0,207.05882352941177,0-1-4-3-5-14-6-9*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
60,0,9,32.0,7040.0,220.0,0-1-4-3-5-7-9*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,0,9,28.0,6350.0,226.78571428571428,0-1-3-5-14-7-9*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
57,0,9,27.0,6350.0,235.1851851851852,0-1-3-5-14-6-9*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
56,0,9,26.0,6340.0,243.84615384615384,0-1-2-5-14-7-9*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
54,0,9,25.0,6340.0,253.6,0-1-2-5-14-6-9*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
53,0,9,25.0,6350.0,254.0,0-1-3-5-7-9*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,0,9,23.0,6340.0,275.6521739130435,0-1-2-5-7-9*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,0,9,28.0,7960.0,284.2857142857143,0-1-3-5-7-14-6-9*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
55,0,9,26.0,8030.0,308.84615384615387,0-1-2-5-7-14-6-9*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
71,0,10,31.0,1610.0,51.935483870967744,0-1-3-11-10*,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
79,0,10,38.0,1980.0,52.10526315789474,0-1-4-3-11-10*,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
77,0,10,37.0,3560.0,96.21621621621621,0-1-2-5-3-11-10*,7.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
82,0,10,40.0,9270.0,231.75,0-1-3-5-7-9-12-10*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
76,0,10,37.0,8650.0,233.78378378378378,0-1-4-3-5-7-9-10*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
75,0,10,33.0,7920.0,240.0,0-1-3-5-14-7-9-10*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
78,0,10,38.0,9220.0,242.6315789473684,0-1-2-5-7-9-12-10*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
73,0,10,32.0,7920.0,247.5,0-1-3-5-14-6-9-10*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
72,0,10,31.0,7870.0,253.8709677419355,0-1-2-5-14-7-9-10*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
69,0,10,30.0,7870.0,262.3333333333333,0-1-2-5-14-6-9-10*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
68,0,10,30.0,7920.0,264.0,0-1-3-5-7-9-10*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
67,0,10,28.0,7870.0,281.07142857142856,0-1-2-5-7-9-10*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
108,0,11,28.0,1610.0,57.5,0-1-4-3-11*,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106,0,11,21.0,1280.0,60.95238095238095,0-1-3-11*,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107,0,11,27.0,3070.0,113.70370370370371,0-1-2-5-3-11*,6.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
109,0,11,40.0,8740.0,218.5,0-1-3-5-7-9-10-11*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1540,0,11,38.0,8660.0,227.89473684210526,0-1-2-5-7-9-10-11*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
140,0,12,43.0,2430.0,56.51162790697674,0-1-4-3-11-10-12*,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
121,0,12,36.0,2050.0,56.94444444444444,0-1-3-11-10-12*,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
137,0,12,42.0,4050.0,96.42857142857143,0-1-2-5-3-11-10-12*,8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
152,0,12,53.0,6430.0,121.32075471698113,0-1-4-3-11-10-9-12*,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
150,0,12,46.0,5810.0,126.30434782608695,0-1-3-11-10-9-12*,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1678,0,12,46.0,6350.0,138.04347826086956,0-1-3-11-10-9-13-12*,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
136,0,12,42.0,8210.0,195.47619047619048,0-1-4-3-5-7-9-12*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
131,0,12,38.0,7510.0,197.6315789473684,0-1-3-5-14-7-9-12*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
127,0,12,37.0,7510.0,202.97297297297297,0-1-3-5-14-6-9-12*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
122,0,12,36.0,7500.0,208.33333333333334,0-1-2-5-14-7-9-12*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
115,0,12,35.0,7500.0,214.28571428571428,0-1-2-5-14-6-9-12*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
114,0,12,35.0,7510.0,214.57142857142858,0-1-3-5-7-9-12*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
111,0,12,33.0,7500.0,227.27272727272728,0-1-2-5-7-9-12*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,0,12,35.0,8050.0,230.0,0-1-3-5-7-9-13-12*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
113,0,12,33.0,8040.0,243.63636363636363,0-1-2-5-7-9-13-12*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
116,0,12,35.0,9270.0,264.85714285714283,0-1-3-5-7-9-10-12*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
112,0,12,33.0,9220.0,279.3939393939394,0-1-2-5-7-9-10-12*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1768,0,13,51.0,5430.0,106.47058823529412,0-1-4-3-11-10-9-13*,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1766,0,13,44.0,4820.0,109.54545454545455,0-1-3-11-10-9-13*,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1769,0,13,54.0,6350.0,117.5925925925926,0-1-3-11-10-12-9-13*,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1767,0,13,48.0,6350.0,132.29166666666666,0-1-3-11-10-9-12-13*,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
173,0,13,40.0,7490.0,187.25,0-1-4-3-5-7-9-13*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
162,0,13,36.0,6800.0,188.88888888888889,0-1-3-5-14-7-9-13*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
159,0,13,35.0,6800.0,194.28571428571428,0-1-3-5-14-6-9-13*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
157,0,13,34.0,6790.0,199.7058823529412,0-1-2-5-14-7-9-13*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
155,0,13,33.0,6790.0,205.75757575757575,0-1-2-5-14-6-9-13*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
154,0,13,33.0,6800.0,206.06060606060606,0-1-3-5-7-9-13*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
163,0,13,37.0,8050.0,217.56756756756758,0-1-3-5-7-9-12-13*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
153,0,13,31.0,6790.0,219.03225806451613,0-1-2-5-7-9-13*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
158,0,13,35.0,8040.0,229.71428571428572,0-1-2-5-7-9-12-13*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
197,0,14,25.0,2420.0,96.8,0-1-4-3-5-14*,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,0,14,18.0,2020.0,112.22222222222223,0-1-3-5-14*,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
198,0,14,26.0,3100.0,119.23076923076923,0-1-4-3-5-7-14*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,0,14,19.0,2650.0,139.47368421052633,0-1-3-5-7-14*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,0,14,16.0,2320.0,145.0,0-1-2-5-14*,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,0,14,17.0,3030.0,178.23529411764707,0-1-2-5-7-14*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1876,0,14,34.0,7960.0,234.11764705882354,0-1-3-5-7-9-6-14*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1875,0,14,32.0,8030.0,250.9375,0-1-2-5-7-9-6-14*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
205,1,2,2.0,100.0,50.0,1-2*,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,1,2,17.0,1640.0,96.47058823529412,1-4-3-5-2*,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,1,2,10.0,1280.0,128.0,1-3-5-2*,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,1,3,10.0,380.0,38.0,1-4-3*,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,1,3,3.0,240.0,80.0,1-3*,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,1,3,9.0,1280.0,142.22222222222223,1-2-5-3*,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,1,3,40.0,7750.0,193.75,1-2-5-7-9-10-11-3*,8.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
211,1,4,6.0,40.0,6.666666666666667,1-4*,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,1,4,7.0,380.0,54.285714285714285,1-3-4*,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,1,4,13.0,1640.0,126.15384615384616,1-2-5-3-4*,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,1,5,14.0,1040.0,74.28571428571429,1-4-3-5*,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,1,5,7.0,800.0,114.28571428571429,1-3-5*,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,1,5,5.0,820.0,164.0,1-2-5*,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1018,1,5,40.0,6940.0,173.5,1-3-11-10-9-6-14-5*,8.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1017,1,5,38.0,6940.0,182.6315789473684,1-3-11-10-9-7-5*,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
221,1,6,19.0,1570.0,82.63157894736842,1-4-3-5-14-6*,6.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,1,6,12.0,1280.0,106.66666666666667,1-3-5-14-6*,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
222,1,6,20.0,2200.0,110.0,1-4-3-5-7-14-6*,7.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
217,1,6,10.0,1380.0,138.0,1-2-5-14-6*,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220,1,6,13.0,1860.0,143.07692307692307,1-3-5-7-14-6*,6.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,1,6,11.0,2040.0,185.45454545454547,1-2-5-7-14-6*,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
226,1,6,41.0,7750.0,189.02439024390245,1-2-5-3-11-10-9-6*,8.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
225,1,6,34.0,6700.0,197.05882352941177,1-4-3-5-14-7-9-6*,8.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224,1,6,27.0,6120.0,226.66666666666666,1-3-5-14-7-9-6*,7.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
223,1,6,25.0,5910.0,236.4,1-2-5-14-7-9-6*,7.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1150,1,6,24.0,6120.0,255.0,1-3-5-7-9-6*,6.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1149,1,6,22.0,5910.0,268.6363636363636,1-2-5-7-9-6*,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
237,1,7,19.0,1570.0,82.63157894736842,1-4-3-5-14-7*,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
