"","Iteration","f1_TRT","f2_ATT","Temperature","C_epoch_number","L_iteration_per_epoch","A_num_accepted_moves_per_epoch","eps_num_epochs_without_accepting_solution"
"48",35,124,9.84602510460251,8573.75,4,35,1,0
"49",36,127,9.84602510460251,8573.75,4,36,1,0
"50",37,127,9.84602510460251,8573.75,4,37,1,0
"51",38,130,7.95564853556485,8573.75,4,38,1,0
"52",39,130,7.95564853556485,8573.75,4,39,2,0
"53",0,132,7.66276150627615,8145.0625,5,0,0,0
"54",1,129,7.66276150627615,8145.0625,5,1,1,0
"55",2,131,7.54979079497908,8145.0625,5,2,2,0
"56",0,135,7.54979079497908,7737.809375,6,0,0,0
"57",1,130,8.32133891213389,7737.809375,6,1,1,0
"58",2,122,8.32133891213389,7737.809375,6,2,1,0
"59",3,125,7.45857740585774,7737.809375,6,3,2,0
"60",0,127,6.95230125523013,7350.91890625,7,0,0,0
"61",1,123,6.96903765690377,7350.91890625,7,1,1,0
"62",2,121,7.47531380753138,7350.91890625,7,2,2,0
"63",0,126,7.44853556485356,6983.3729609375,8,0,0,0
"64",1,121,7.47531380753138,6983.3729609375,8,1,0,0
"65",2,125,7.04853556485356,6983.3729609375,8,2,1,0
"66",3,129,7.03179916317992,6983.3729609375,8,3,1,0
"67",4,134,7.00502092050209,6983.3729609375,8,4,1,0
"68",5,130,7.02175732217573,6983.3729609375,8,5,1,0
"69",6,127,7.03849372384937,6983.3729609375,8,6,1,0
"70",7,124,8.07698744769874,6983.3729609375,8,7,1,0
"71",8,117,7.4744769874477,6983.3729609375,8,8,1,0
"72",9,120,7.35313807531381,6983.3729609375,8,9,2,0
"73",0,123,7.35313807531381,6634.20431289062,9,0,0,0
"74",1,118,7.3907949790795,6634.20431289062,9,1,1,0
"75",2,115,7.3907949790795,6634.20431289062,9,2,2,0
"76",0,117,7.36150627615063,6302.49409724609,10,0,0,0
"77",1,125,7.23598326359833,6302.49409724609,10,1,1,0
"78",2,129,7.03514644351464,6302.49409724609,10,2,1,0
"79",3,132,6.57238493723849,6302.49409724609,10,3,1,0
"80",4,134,6.38828451882845,6302.49409724609,10,4,2,0
"81",0,137,6.34644351464435,5987.36939238379,11,0,0,0
"82",1,129,6.34644351464435,5987.36939238379,11,1,1,0
"83",2,126,6.34644351464435,5987.36939238379,11,2,2,0
"84",0,131,6.30878661087866,5688.0009227646,12,0,0,0
"85",1,135,6.21673640167364,5688.0009227646,12,1,1,0
"86",2,137,5.59497907949791,5688.0009227646,12,2,2,0
"87",0,140,5.57824267782427,5403.60087662637,13,0,0,0
"88",1,137,5.59497907949791,5403.60087662637,13,1,1,0
"89",2,137,5.59497907949791,5403.60087662637,13,2,2,0
"90",0,134,5.59497907949791,5133.42083279505,14,0,0,0
"91",1,136,5.59497907949791,5133.42083279505,14,1,1,0
"92",2,133,5.99832635983264,5133.42083279505,14,2,2,0
"93",0,131,6.00669456066946,4876.7497911553,15,0,0,0
"94",1,134,6.00669456066946,4876.7497911553,15,1,1,0
"95",2,133,5.45439330543933,4876.7497911553,15,2,1,0
"96",3,129,5.58410041841004,4876.7497911553,15,3,2,0
"97",0,132,5.5071129707113,4632.91230159753,16,0,0,0
"98",1,132,5.5071129707113,4632.91230159753,16,1,1,0
"99",2,132,5.5071129707113,4632.91230159753,16,2,2,0
"100",0,129,5.5489539748954,4401.26668651765,17,0,0,0
"101",1,134,5.5489539748954,4401.26668651765,17,1,1,0
"102",2,140,5.52384937238494,4401.26668651765,17,2,1,0
"103",3,143,5.52384937238494,4401.26668651765,17,3,1,0
"104",4,146,5.52384937238494,4401.26668651765,17,4,1,0
"105",5,140,5.5489539748954,4401.26668651765,17,5,1,0
"106",6,136,6.10125523012552,4401.26668651765,17,6,1,0
"107",7,132,6.10125523012552,4401.26668651765,17,7,1,0
"108",8,134,5.93389121338912,4401.26668651765,17,8,1,0
"109",9,129,5.96317991631799,4401.26668651765,17,9,1,0
"110",10,127,6.74644351464435,4401.26668651765,17,10,2,0
"111",11,124,6.96987447698745,4401.26668651765,17,11,2,0
"112",12,127,6.17489539748954,4401.26668651765,17,12,2,0
"113",0,125,6.66108786610879,4181.20335219177,18,0,0,0
"114",1,128,6.66108786610879,4181.20335219177,18,1,1,0
"115",2,134,6.61087866108787,4181.20335219177,18,2,1,0
"116",3,131,6.72384937238494,4181.20335219177,18,3,1,0
"117",4,128,6.7489539748954,4181.20335219177,18,4,1,0
"118",5,132,6.58995815899582,4181.20335219177,18,5,1,0
"119",6,135,6.46443514644352,4181.20335219177,18,6,1,0
"120",7,139,6.41422594142259,4181.20335219177,18,7,1,0
"121",8,134,6.45774058577406,4181.20335219177,18,8,1,0
"122",9,131,6.97238493723849,4181.20335219177,18,9,1,0
"123",10,133,5.95648535564854,4181.20335219177,18,10,1,0
"124",11,137,5.91464435146444,4181.20335219177,18,11,1,0
"125",12,135,6.44602510460251,4181.20335219177,18,12,1,0
"126",13,138,6.16150627615063,4181.20335219177,18,13,1,0
"127",14,135,6.16150627615063,4181.20335219177,18,14,1,0
"128",15,135,6.16150627615063,4181.20335219177,18,15,1,0
"129",16,133,6.16150627615063,4181.20335219177,18,16,1,0
"130",17,137,6.13221757322176,4181.20335219177,18,17,1,0
"131",18,134,6.14058577405858,4181.20335219177,18,18,1,0
"132",19,131,6.64937238493724,4181.20335219177,18,19,1,0
"133",20,129,6.85857740585774,4181.20335219177,18,20,1,0
"134",21,133,6.85857740585774,4181.20335219177,18,21,1,0
"135",22,129,6.85857740585774,4181.20335219177,18,22,1,0
"136",23,121,6.85857740585774,4181.20335219177,18,23,1,0
"137",24,118,7.38577405857741,4181.20335219177,18,24,2,0
"138",25,113,8.01757322175732,4181.20335219177,18,25,2,0
"139",0,115,7.54728033472803,3972.14318458218,19,0,0,0
"140",1,111,7.54728033472803,3972.14318458218,19,1,1,0
"141",2,106,7.54728033472803,3972.14318458218,19,2,2,0
"142",0,104,8.01757322175732,3773.53602535307,20,0,0,0
"143",1,109,8.01087866108787,3773.53602535307,20,1,1,0
"144",2,106,8.01924686192469,3773.53602535307,20,2,1,0
"145",3,102,8.04853556485356,3773.53602535307,20,3,1,0
"146",4,93,7.67029288702929,3773.53602535307,20,4,2,0
"147",0,96,7.05857740585774,3584.85922408542,21,0,0,0
"148",1,101,6.84100418410042,3584.85922408542,21,1,1,0
"149",2,98,6.84100418410042,3584.85922408542,21,2,2,0
"150",0,101,6.84100418410042,3405.61626288115,22,0,0,0
"151",1,101,6.84100418410042,3405.61626288115,22,1,1,0
"152",2,103,6.75732217573222,3405.61626288115,22,2,2,0
"153",0,96,6.8234309623431,3235.33544973709,23,0,0,0
"154",1,99,6.50962343096234,3235.33544973709,23,1,1,0
"155",2,103,6.50962343096234,3235.33544973709,23,2,2,0
"156",0,101,6.59330543933054,3073.56867725024,24,0,0,0
"157",1,98,6.76066945606695,3073.56867725024,24,1,0,0
"158",2,96,7.20083682008368,3073.56867725024,24,2,1,0
"159",3,98,7.17154811715481,3073.56867725024,24,3,2,0
"160",4,102,7.17154811715481,3073.56867725024,24,4,2,0
"161",5,104,7.16317991631799,3073.56867725024,24,5,2,0
"162",6,106,7.04602510460251,3073.56867725024,24,6,2,0
"163",7,114,7.04602510460251,3073.56867725024,24,7,2,0
"164",8,117,6.86610878661088,3073.56867725024,24,8,2,0
"165",9,109,6.86610878661088,3073.56867725024,24,9,2,0
"166",10,109,6.86610878661088,3073.56867725024,24,10,2,0
"167",11,113,6.84937238493724,3073.56867725024,24,11,2,0
"168",12,116,6.84937238493724,3073.56867725024,24,12,2,0
"169",13,116,6.84937238493724,3073.56867725024,24,13,2,0
"170",14,118,6.53974895397489,3073.56867725024,24,14,2,0
"171",15,114,6.56903765690377,3073.56867725024,24,15,2,0
"172",16,112,6.56903765690377,3073.56867725024,24,16,2,0
"173",17,109,6.77991631799163,3073.56867725024,24,17,2,0
"174",18,107,6.86359832635983,3073.56867725024,24,18,2,0
"175",19,110,6.83430962343096,3073.56867725024,24,19,2,0
"176",20,113,6.83430962343096,3073.56867725024,24,20,2,0
"177",21,116,6.83430962343096,3073.56867725024,24,21,2,0
"178",22,111,7.20251046025105,3073.56867725024,24,22,2,0
"179",23,115,7.181589958159,3073.56867725024,24,23,2,0
"180",24,112,7.181589958159,3073.56867725024,24,24,2,0
"181",25,108,7.181589958159,3073.56867725024,24,25,2,0
"182",26,106,7.18995815899582,3073.56867725024,24,26,2,0
"183",27,109,7.18995815899582,3073.56867725024,24,27,2,0
"184",28,113,7.181589958159,3073.56867725024,24,28,2,0
"185",29,116,7.08117154811715,3073.56867725024,24,29,2,0
"186",30,112,7.08117154811715,3073.56867725024,24,30,2,0
"187",31,109,7.08117154811715,3073.56867725024,24,31,2,0
"188",32,112,7.08117154811715,3073.56867725024,24,32,2,0
"189",33,108,7.08953974895397,3073.56867725024,24,33,2,0
"190",34,113,6.72133891213389,3073.56867725024,24,34,2,0
"191",35,116,6.72133891213389,3073.56867725024,24,35,2,0
"192",36,113,6.82175732217573,3073.56867725024,24,36,2,0
"193",37,117,6.79246861924686,3073.56867725024,24,37,2,0
"194",38,111,6.81757322175732,3073.56867725024,24,38,2,0
"195",39,119,6.81757322175732,3073.56867725024,24,39,2,0
"196",40,124,6.69205020920502,3073.56867725024,24,40,2,0
"197",41,114,6.46861924686193,3073.56867725024,24,41,2,0
"198",0,118,6.40836820083682,2919.89024338772,25,0,0,0
"199",1,120,6.40836820083682,2919.89024338772,25,1,1,0
"200",2,118,6.62259414225941,2919.89024338772,25,2,2,0
"201",3,114,6.65188284518828,2919.89024338772,25,3,2,0
"202",4,119,6.65188284518828,2919.89024338772,25,4,2,0
"203",5,111,6.71882845188285,2919.89024338772,25,5,2,0
"204",6,107,6.80669456066946,2919.89024338772,25,6,2,0
"205",7,110,6.77740585774059,2919.89024338772,25,7,2,0
"206",8,107,6.80669456066946,2919.89024338772,25,8,2,0
"207",9,105,6.80669456066946,2919.89024338772,25,9,2,0
"208",10,102,7.61506276150628,2919.89024338772,25,10,2,0
"209",11,106,7.56485355648536,2919.89024338772,25,11,2,0
"210",12,110,7.53556485355648,2919.89024338772,25,12,2,0
"211",13,118,7.51046025104602,2919.89024338772,25,13,2,0
"212",14,110,7.65690376569038,2919.89024338772,25,14,2,0
"213",15,102,7.80334728033473,2919.89024338772,25,15,2,0
"214",16,102,7.80334728033473,2919.89024338772,25,16,2,0
"215",17,105,7.49372384937239,2919.89024338772,25,17,2,0
"216",18,113,7.34728033472803,2919.89024338772,25,18,2,0
"217",19,115,7.21338912133891,2919.89024338772,25,19,2,0
"218",20,118,7.21338912133891,2919.89024338772,25,20,2,0
"219",21,116,7.56987447698745,2919.89024338772,25,21,2,0
"220",22,114,7.70376569037657,2919.89024338772,25,22,2,0
"221",23,117,7.70376569037657,2919.89024338772,25,23,2,0
"222",24,115,8.57824267782427,2919.89024338772,25,24,2,0
"223",25,117,7.80083682008368,2919.89024338772,25,25,2,0
"224",26,114,7.80083682008368,2919.89024338772,25,26,2,0
"225",27,111,7.80083682008368,2919.89024338772,25,27,2,0
"226",28,113,7.80083682008368,2919.89024338772,25,28,2,0
"227",29,116,7.3071129707113,2919.89024338772,25,29,2,0
"228",30,119,7.20669456066946,2919.89024338772,25,30,2,0
"229",31,124,7.1397489539749,2919.89024338772,25,31,2,0
"230",32,128,7.04769874476987,2919.89024338772,25,32,2,0
"231",33,124,7.05690376569038,2919.89024338772,25,33,2,0
"232",34,132,6.82677824267782,2919.89024338772,25,34,2,0
"233",35,127,6.86778242677824,2919.89024338772,25,35,2,0
"234",36,130,6.75899581589958,2919.89024338772,25,36,2,0
"235",37,133,6.74225941422594,2919.89024338772,25,37,2,0
"236",38,137,6.74644351464435,2919.89024338772,25,38,2,0
"237",39,139,6.37824267782427,2919.89024338772,25,39,2,0
"238",40,141,6.03347280334728,2919.89024338772,25,40,2,0
"239",41,133,6.03347280334728,2919.89024338772,25,41,2,0
"240",42,135,5.87866108786611,2919.89024338772,25,42,2,0
"241",43,132,5.97907949790795,2919.89024338772,25,43,2,0
"242",44,128,6.10460251046025,2919.89024338772,25,44,2,0
"243",0,132,6.10460251046025,2773.89573121834,26,0,0,0
"244",1,138,6.10460251046025,2773.89573121834,26,1,0,0
"245",2,130,6.38075313807531,2773.89573121834,26,2,0,0
"246",3,126,6.38075313807531,2773.89573121834,26,3,0,0
"247",4,123,6.40585774058577,2773.89573121834,26,4,1,0
"248",5,131,6.31799163179916,2773.89573121834,26,5,2,0
"249",6,127,6.34728033472803,2773.89573121834,26,6,2,0
"250",7,135,6.05020920502092,2773.89573121834,26,7,2,0
"251",8,137,6.05020920502092,2773.89573121834,26,8,2,0
"252",9,135,6.05020920502092,2773.89573121834,26,9,2,0
"253",10,132,6.05020920502092,2773.89573121834,26,10,2,0
"254",11,137,5.84100418410042,2773.89573121834,26,11,2,0
"255",12,135,5.85774058577406,2773.89573121834,26,12,2,0
"256",13,131,5.85774058577406,2773.89573121834,26,13,2,0
"257",14,128,5.85774058577406,2773.89573121834,26,14,2,0
"258",0,126,6.13807531380753,2635.20094465742,27,0,0,0
"259",1,131,5.85774058577406,2635.20094465742,27,1,1,0
"260",2,127,5.90794979079498,2635.20094465742,27,2,1,0
"261",3,127,5.90794979079498,2635.20094465742,27,3,2,0
"262",0,122,6.13807531380753,2503.44089742455,28,0,0,0
"263",1,126,6.13807531380753,2503.44089742455,28,1,1,0
"264",2,134,6.13807531380753,2503.44089742455,28,2,2,0
"265",3,137,6.12133891213389,2503.44089742455,28,3,2,0
"266",4,140,6.12133891213389,2503.44089742455,28,4,2,0
"267",5,132,6.12133891213389,2503.44089742455,28,5,2,0
"268",6,132,6.12133891213389,2503.44089742455,28,6,2,0
"269",7,137,5.89121338912134,2503.44089742455,28,7,2,0
"270",8,139,5.7907949790795,2503.44089742455,28,8,2,0
"271",9,136,6.29037656903766,2503.44089742455,28,9,2,0
"272",10,133,6.29037656903766,2503.44089742455,28,10,2,0
"273",11,130,6.29037656903766,2503.44089742455,28,11,2,0
"274",12,128,6.5163179916318,2503.44089742455,28,12,2,0
"275",13,133,6.29037656903766,2503.44089742455,28,13,2,0
"276",14,133,6.29037656903766,2503.44089742455,28,14,2,0
"277",15,128,6.29037656903766,2503.44089742455,28,15,2,0
"278",16,125,6.3071129707113,2503.44089742455,28,16,2,0
"279",17,122,6.3071129707113,2503.44089742455,28,17,2,0
"280",0,122,6.3071129707113,2378.26885255332,29,0,0,0
"281",1,125,6.3071129707113,2378.26885255332,29,1,1,0
"282",2,129,6.3071129707113,2378.26885255332,29,2,1,0
"283",3,132,6.3071129707113,2378.26885255332,29,3,1,0
"284",4,134,6.27782426778243,2378.26885255332,29,4,1,0
"285",5,137,6.79246861924686,2378.26885255332,29,5,1,0
"286",6,134,6.79246861924686,2378.26885255332,29,6,1,0
"287",7,132,6.79246861924686,2378.26885255332,29,7,1,0
"288",8,128,6.87280334728033,2378.26885255332,29,8,1,0
"289",9,125,6.87280334728033,2378.26885255332,29,9,1,0
"290",10,129,6.79246861924686,2378.26885255332,29,10,1,0
"291",11,114,7.22594142259414,2378.26885255332,29,11,1,0
"292",12,115,7.68786610878661,2378.26885255332,29,12,1,0
"293",13,107,7.68786610878661,2378.26885255332,29,13,1,0
"294",14,110,7.05857740585774,2378.26885255332,29,14,1,0
"295",15,109,6.89121338912134,2378.26885255332,29,15,1,0
"296",16,111,6.68200836820084,2378.26885255332,29,16,1,0
"297",17,120,6.77154811715481,2378.26885255332,29,17,1,0
"298",18,122,6.21338912133891,2378.26885255332,29,18,1,0
"299",19,127,6.21338912133891,2378.26885255332,29,19,2,0
"300",20,122,6.40167364016736,2378.26885255332,29,20,2,0
"301",0,125,6.40167364016736,2259.35540992566,30,0,0,0
"302",1,120,6.48535564853557,2259.35540992566,30,1,0,0
"303",2,122,7.0418410041841,2259.35540992566,30,2,0,0
"304",3,125,7.00418410041841,2259.35540992566,30,3,0,0
"305",4,122,7.0418410041841,2259.35540992566,30,4,0,0
"306",5,124,6.86192468619247,2259.35540992566,30,5,0,0
"307",6,129,6.86192468619247,2259.35540992566,30,6,0,0
"308",7,133,6.86192468619247,2259.35540992566,30,7,0,0
"309",8,136,6.40585774058577,2259.35540992566,30,8,0,0
"310",9,139,6.23012552301255,2259.35540992566,30,9,0,0
"311",10,136,6.68619246861925,2259.35540992566,30,10,0,0
"312",11,136,6.68619246861925,2259.35540992566,30,11,0,0
"313",12,141,6.68619246861925,2259.35540992566,30,12,0,0
"314",13,144,6.68619246861925,2259.35540992566,30,13,0,0
"315",14,147,6.68619246861925,2259.35540992566,30,14,0,0
"316",15,152,6.33054393305439,2259.35540992566,30,15,0,0
"317",16,147,6.68619246861925,2259.35540992566,30,16,0,0
"318",17,144,6.68619246861925,2259.35540992566,30,17,0,0
"319",18,146,6.43514644351464,2259.35540992566,30,18,0,0
"320",19,142,6.43514644351464,2259.35540992566,30,19,0,0
"321",20,147,6.30125523012552,2259.35540992566,30,20,0,0
"322",21,144,6.34309623430962,2259.35540992566,30,21,0,0
"323",22,147,6.18828451882845,2259.35540992566,30,22,0,0
"324",23,144,6.3397489539749,2259.35540992566,30,23,0,0
"325",24,148,6.3397489539749,2259.35540992566,30,24,0,0
"326",25,145,6.49456066945607,2259.35540992566,30,25,0,0
"327",26,153,6.45271966527197,2259.35540992566,30,26,0,0
"328",27,149,6.45271966527197,2259.35540992566,30,27,0,0
"329",28,152,6.30125523012552,2259.35540992566,30,28,0,0
"330",29,147,6.30125523012552,2259.35540992566,30,29,0,0
"331",30,151,6.27196652719665,2259.35540992566,30,30,0,0
"332",31,148,6.27196652719665,2259.35540992566,30,31,0,0
"333",32,144,6.27196652719665,2259.35540992566,30,32,0,0
"334",33,147,6.27196652719665,2259.35540992566,30,33,0,0
"335",34,150,6.27196652719665,2259.35540992566,30,34,0,0
"336",35,147,6.4234309623431,2259.35540992566,30,35,0,0
"337",36,144,6.4234309623431,2259.35540992566,30,36,0,0
"338",37,147,6.4234309623431,2259.35540992566,30,37,0,0
"339",38,145,6.58661087866109,2259.35540992566,30,38,0,0
"340",39,148,6.49121338912134,2259.35540992566,30,39,0,0
"341",40,151,6.49121338912134,2259.35540992566,30,40,0,0
"342",41,154,6.49121338912134,2259.35540992566,30,41,0,0
"343",42,152,6.74225941422594,2259.35540992566,30,42,0,0
"344",43,148,6.77154811715481,2259.35540992566,30,43,0,0
"345",44,150,6.52050209205021,2259.35540992566,30,44,0,0
"346",45,146,6.52635983263598,2259.35540992566,30,45,0,0
"347",46,154,6.48451882845188,2259.35540992566,30,46,0,0
"348",47,151,6.48451882845188,2259.35540992566,30,47,0,0
"349",48,149,6.77740585774059,2259.35540992566,30,48,0,0
"350",49,145,7.02845188284519,2259.35540992566,30,49,0,0
"351",50,148,7.02845188284519,2259.35540992566,30,50,0,0
"352",51,153,6.77740585774059,2259.35540992566,30,51,0,0
"353",52,157,6.72133891213389,2259.35540992566,30,52,0,0
"354",53,160,6.72133891213389,2259.35540992566,30,53,0,0
"355",54,157,6.72133891213389,2259.35540992566,30,54,0,0
"356",55,153,6.77740585774059,2259.35540992566,30,55,0,0
"357",56,155,6.40083682008368,2259.35540992566,30,56,0,0
"358",57,157,6.34225941422594,2259.35540992566,30,57,0,0
"359",58,161,6.34225941422594,2259.35540992566,30,58,0,0
"360",59,156,6.50962343096234,2259.35540992566,30,59,0,0
"361",60,156,6.50962343096234,2259.35540992566,30,60,0,0
"362",61,161,6.04937238493724,2259.35540992566,30,61,0,0
"363",62,161,6.04937238493724,2259.35540992566,30,62,0,0
"364",63,158,6.04937238493724,2259.35540992566,30,63,0,0
"365",64,158,6.04937238493724,2259.35540992566,30,64,0,0
"366",65,162,6.04937238493724,2259.35540992566,30,65,0,0
"367",66,137,6.16652719665272,2259.35540992566,30,66,0,0
"368",67,145,6.16652719665272,2259.35540992566,30,67,0,0
"369",68,142,6.16652719665272,2259.35540992566,30,68,0,0
"370",69,140,6.72719665271967,2259.35540992566,30,69,0,0
"371",70,137,6.98912133891213,2259.35540992566,30,70,0,0
"372",71,141,6.70376569037657,2259.35540992566,30,71,0,0
"373",72,137,6.98912133891213,2259.35540992566,30,72,0,0
"374",73,129,6.98912133891213,2259.35540992566,30,73,0,0
"375",74,134,6.82175732217573,2259.35540992566,30,74,0,0
"376",75,137,6.52217573221757,2259.35540992566,30,75,0,0
"377",76,132,6.59916317991632,2259.35540992566,30,76,0,0
"378",77,130,8.01422594142259,2259.35540992566,30,77,0,0
"379",78,132,6.85271966527197,2259.35540992566,30,78,0,0
"380",79,135,6.85271966527197,2259.35540992566,30,79,0,0
"381",80,138,6.79497907949791,2259.35540992566,30,80,0,0
"382",81,126,6.96234309623431,2259.35540992566,30,81,0,0
"383",82,121,6.45188284518828,2259.35540992566,30,82,0,0
"384",83,124,6.29707112970711,2259.35540992566,30,83,0,0
"385",84,121,7.24267782426778,2259.35540992566,30,84,0,0
"386",85,125,7.24267782426778,2259.35540992566,30,85,0,0
"387",86,121,7.3765690376569,2259.35540992566,30,86,0,0
"388",87,126,7.0836820083682,2259.35540992566,30,87,0,0
"389",88,121,7.3765690376569,2259.35540992566,30,88,0,0
"390",89,121,7.3765690376569,2259.35540992566,30,89,0,0
"391",90,124,7.00083682008368,2259.35540992566,30,90,0,0
"392",91,127,7.00083682008368,2259.35540992566,30,91,0,0
"393",92,123,7.00083682008368,2259.35540992566,30,92,0,0
"394",93,127,7.00083682008368,2259.35540992566,30,93,0,0
"395",94,130,6.48619246861925,2259.35540992566,30,94,0,0
"396",95,127,7.00083682008368,2259.35540992566,30,95,0,0
"397",96,131,7.00083682008368,2259.35540992566,30,96,0,0
"398",97,134,7.00083682008368,2259.35540992566,30,97,0,0
"399",98,134,7.00083682008368,2259.35540992566,30,98,0,0
"400",99,136,6.93807531380753,2259.35540992566,30,99,0,0
"401",100,134,7.00083682008368,2259.35540992566,30,100,0,0
"402",101,138,6.8602510460251,2259.35540992566,30,101,0,0
"403",102,136,7.3163179916318,2259.35540992566,30,102,0,0
"404",103,138,7.19497907949791,2259.35540992566,30,103,0,0
"405",104,138,7.19497907949791,2259.35540992566,30,104,0,0
"406",105,141,6.818410041841,2259.35540992566,30,105,0,0
"407",106,138,6.91966527196653,2259.35540992566,30,106,0,0
"408",107,141,6.818410041841,2259.35540992566,30,107,0,0
"409",108,143,6.818410041841,2259.35540992566,30,108,0,0
"410",109,140,6.818410041841,2259.35540992566,30,109,0,0
"411",110,140,6.818410041841,2259.35540992566,30,110,0,0
"412",111,145,6.818410041841,2259.35540992566,30,111,0,0
"413",112,142,6.818410041841,2259.35540992566,30,112,0,0
"414",113,136,6.818410041841,2259.35540992566,30,113,0,0
"415",114,138,6.53807531380753,2259.35540992566,30,114,0,0
"416",115,141,6.37071129707113,2259.35540992566,30,115,0,0
"417",116,138,6.53807531380753,2259.35540992566,30,116,0,0
"418",117,134,6.85271966527197,2259.35540992566,30,117,0,0
"419",118,129,6.85271966527197,2259.35540992566,30,118,0,0
"420",119,129,6.85271966527197,2259.35540992566,30,119,0,0
"421",120,137,6.68535564853557,2259.35540992566,30,120,0,0
"422",121,140,6.46778242677824,2259.35540992566,30,121,0,0
"423",122,138,6.46778242677824,2259.35540992566,30,122,0,0
"424",123,138,6.46778242677824,2259.35540992566,30,123,0,0
"425",124,132,6.70376569037657,2259.35540992566,30,124,0,0
"426",125,127,6.73305439330544,2259.35540992566,30,125,0,0
"427",126,135,6.73305439330544,2259.35540992566,30,126,0,0
"428",127,127,6.7581589958159,2259.35540992566,30,127,0,0
"429",128,119,6.7581589958159,2259.35540992566,30,128,0,0
"430",129,115,6.8836820083682,2259.35540992566,30,129,0,0
"431",130,113,7.40669456066946,2259.35540992566,30,130,0,0
"432",131,117,7.28117154811715,2259.35540992566,30,131,0,0
"433",132,114,7.61589958158996,2259.35540992566,30,132,0,0
"434",133,117,7.49037656903766,2259.35540992566,30,133,0,0
"435",134,117,7.49037656903766,2259.35540992566,30,134,0,0
"436",135,109,7.49037656903766,2259.35540992566,30,135,0,0
"437",136,105,7.49037656903766,2259.35540992566,30,136,0,0
"438",137,102,7.7581589958159,2259.35540992566,30,137,0,0
"439",138,106,7.64937238493724,2259.35540992566,30,138,0,0
"440",139,110,7.61589958158996,2259.35540992566,30,139,0,0
"441",140,115,7.5765690376569,2259.35540992566,30,140,0,0
"442",141,111,7.70209205020921,2259.35540992566,30,141,0,0
"443",142,107,7.85690376569038,2259.35540992566,30,142,0,0
"444",143,103,7.92384937238494,2259.35540992566,30,143,0,0
"445",144,100,7.92384937238494,2259.35540992566,30,144,0,0
"446",145,103,7.60669456066946,2259.35540992566,30,145,0,0
"447",146,107,7.55648535564854,2259.35540992566,30,146,0,0
"448",147,110,7.47280334728034,2259.35540992566,30,147,0,0
"449",148,106,7.60669456066946,2259.35540992566,30,148,0,0
"450",149,110,7.55648535564854,2259.35540992566,30,149,0,0
"451",150,107,7.55648535564854,2259.35540992566,30,150,0,0
"452",151,102,7.67782426778243,2259.35540992566,30,151,0,0
"453",152,110,7.67782426778243,2259.35540992566,30,152,0,0
